0,-510.456,370.394,770.0395,-0.02,0.01,-0.15,0,0,0
200,-508.136,373.18,771.1345,0.16,0.23,-0.06,0.0116,0.01393,0.005475
400,-504.382,377.64,772.9585,0.68,0.82,0.43,0.01877,0.0223,0.00912
600,-506.606,373.894,775.0645,0.49,0.49,0.63,-0.01112,-0.01873,0.01053
800,-505.39,374.818,777.2665,-0.29,-0.58,0.71,0.00608,0.00462,0.01101
1000,-499.7,384.584,770.8285,0.63,0.89,-0.13,0.02845,0.04883,-0.03219
1200,-436.766,453.842,774.5635,5.71,6.9,-1.12,0.31467,0.34629,0.018675
1400,-326.574,538.32,775.6705,19.27,18.45,0.98,0.55096,0.42239,0.005535
1600,-169.874,607.438,770.401,20.32,9.67,-1.43,0.7835,0.34559,-0.0263475
1800,-109.886,621.292,769.4005,16.92,5.27,0.25,0.29994,0.06927,-0.0050025
2000,-67.11,628.844,761.2645,13.7,2.99,-1.04,0.21388,0.03776,-0.04068
2200,-7.772,632.376,761.26,11.93,1.58,-1.89,0.29669,0.01766,-2.25E-05
2400,-21.41,636.388,725.4715,-11.25,0.96,-3.04,-0.06819,0.02006,-0.1789425
2600,-75.36,632.46,723.097,-15.96,0.12,-2.98,-0.26975,-0.01964,-0.0118725
2800,-119.962,625.912,716.26,-12.78,-1.17,-1.23,-0.22301,-0.03274,-0.034185
3000,-154.456,618.342,715.447,-10.39,-1.71,-1.67,-0.17247,-0.03785,-0.004065
3200,-195.324,606.998,700.0285,-9.1,-2.17,-1.73,-0.20434,-0.05672,-0.0770925
3400,-246.294,587.984,711.2095,-10.97,-3.41,-2.47,-0.25485,-0.09507,0.055905
3600,-296.826,563.578,722.5855,-12.7,-5.15,3.74,-0.25266,-0.12203,0.05688
3800,-320.468,550.44,722.926,-10.61,-5.25,2.68,-0.11821,-0.06569,0.0017025
4000,-344.218,534.858,734.0335,-5.91,-3.46,1.19,-0.11875,-0.07791,0.0555375
4200,-404.114,492.944,713.458,-8.64,-5.87,0.53,-0.29948,-0.20957,-0.1028775
4400,-440.184,461.152,708.9535,-13.18,-9.71,-5.25,-0.18035,-0.15896,-0.0225225
4600,-581.714,243.918,755.551,-16.19,-22.65,8.15,-0.70765,-1.08617,0.2329875
4800,-622.516,36.158,772.1785,-18.06,-42.45,6.41,-0.20401,-1.0388,0.0831375
5000,-612.428,-109.822,761.4745,-6.38,-47.3,2.8,0.05044,-0.7299,-0.05352
5200,-546.02,-287.468,748.0795,6.74,-38.87,-3.83,0.33204,-0.88823,-0.066975
5400,-488.394,-371.35,757.7545,15.94,-37.37,-2.15,0.28813,-0.41941,0.048375
5600,-517.374,-343.04,764.7055,7.91,-12.55,2.95,-0.1449,0.14155,0.034755
5800,-606.812,-179.494,757.69,-10.81,17.79,-1.22,-0.44719,0.81773,-0.0350775
6000,-630.048,-64.782,753.0865,-10.21,27.54,-1.18,-0.11618,0.57356,-0.0230175
6200,-628.238,53.29,739.786,-3.93,28.93,-2.4,0.00905,0.59036,-0.0665025
6400,-625.766,66.722,730.54,0.5,21.67,-4.02,0.01236,0.06716,-0.04623
6600,-625.856,22.568,741.5155,0.42,-0.96,-1.05,-0.00045,-0.22077,0.0548775
6800,-622.382,-62.068,746.998,0.24,-14.07,3.1,0.01737,-0.42318,0.0274125
7000,-604.366,-141.062,755.782,2.4,-12.05,1.96,0.09008,-0.39497,0.04392
7200,-602.702,-95.174,755.6095,1.42,0.33,0.12,0.00832,0.22944,-0.0008625
7400,-595.232,-55.544,756.3655,0.85,11,0.03,0.03735,0.19815,0.00378
7600,-583.124,-2.848,750.0115,1.33,5.88,-0.98,0.06054,0.26348,-0.03177
7800,-584.368,23.932,733.069,1.27,7.83,-2.56,-0.00622,0.1339,-0.0847125
8000,-571.836,124.816,691.291,0.72,12.25,-8.13,0.06266,0.50442,-0.20889
8200,-560.178,168.014,723.0745,3.06,20.89,-6.56,0.05829,0.21599,0.1589175
8400,-521.53,266.782,715.1305,4.93,14.96,6.62,0.19324,0.49384,-0.03972
8600,-503.858,299.842,712.957,8.08,19.76,-2.07,0.08836,0.1653,-0.0108675
8800,-480.068,336.082,705.04,4.87,8.5,-1.29,0.11895,0.1812,-0.039585
9000,-474.712,343.082,693.862,4.56,6.86,-2.96,0.02678,0.035,-0.05589
9200,-451.072,372.616,677.86,2.71,3.44,-4.2,0.1182,0.14767,-0.08001
9400,-424.474,402.746,675.58,6.13,7.42,-3.96,0.13299,0.15065,-0.0114
9600,-404.99,422.362,672.4045,6.11,6.74,-0.84,0.09742,0.09808,-0.0158775
9800,-387.664,438.846,674.965,4.7,4.66,-0.48,0.08663,0.08242,0.0128025
10000,-344.906,472.536,677.131,6.23,5.41,0.81,0.21379,0.16845,0.01083
10200,-290.656,508.442,688.312,11.55,8.58,1.62,0.27125,0.17953,0.055905
10400,-247.97,531.416,695.5015,12.69,8,3.32,0.21343,0.11487,0.0359475
10600,-201.652,550.324,692.8495,10.94,5.43,1.41,0.23159,0.09454,-0.01326
10800,-163.356,562.402,690.4465,10.97,4.21,-0.85,0.19148,0.06039,-0.012015
11000,-186.666,555.254,691.0525,-2.47,-0.75,-0.03,-0.11655,-0.03574,0.00303
11200,-224.408,541.8,693.388,-5.63,-1.88,0.54,-0.18871,-0.06727,0.0116775
11400,-259.96,525.044,701.5765,-9.27,-3.61,1.36,-0.17776,-0.08378,0.0409425
11600,-306.93,499.106,692.1175,-9.74,-4.87,0.96,-0.23485,-0.12969,-0.047295
11800,-350.086,469.446,690.352,-11.45,-6.76,-2.38,-0.21578,-0.1483,-0.0088275
12000,-408.844,419.262,690.2035,-11.95,-8.95,-0.42,-0.29379,-0.25092,-0.0007425
12200,-457.888,363.774,674.5675,-13.96,-12.94,-1.59,-0.24522,-0.27744,-0.07818
12400,-512.238,285.254,693.406,-12.65,-15.59,-1.76,-0.27175,-0.3926,0.0941925
12600,-536.136,237.238,705.6115,-11.3,-17.34,5.61,-0.11949,-0.24008,0.0610275
12800,-569.878,129.746,730.0255,-4.73,-14.23,4.68,-0.16871,-0.53746,0.12207
13000,-573.47,117.342,723.409,-2.32,-8.94,1.11,-0.01796,-0.06202,-0.0330825
13200,-559.566,173.364,724.1725,0.41,2.03,-1.46,0.06952,0.28011,0.0038175
13400,-527.57,253.88,718.093,4.83,15.84,-0.42,0.15998,0.40258,-0.0303975
13600,-425.728,398.622,658.2925,12.31,18.92,-7.7,0.50921,0.72371,-0.2990025
13800,-388.6,397.058,559.687,4.65,0.21,-16.96,0.18564,-0.00782,-0.4930275
14000,-373.564,399.786,543.037,4.34,-0.65,-12.23,0.07518,0.01364,-0.08325
14200,-335.716,422.104,533.485,5.46,2.15,-4.84,0.18924,0.11159,-0.04776
14400,-318.596,450.838,561.763,7.9,6.06,0.59,0.0856,0.14367,0.14139
14600,-286.898,473.086,567.0325,3.34,2.19,0.31,0.15849,0.11124,0.0263475
14800,-302.536,464.356,571.306,2.68,2.32,2.03,-0.07819,-0.04365,0.0213675
15000,-426.872,423.574,664.333,-12.06,-4.58,10.29,-0.62168,-0.20391,0.465135
15200,-532.59,256.168,878.0395,-29.68,-19.69,43.07,-0.52859,-0.83703,1.0685325
15400,-482.196,71.274,997.8835,-14.72,-43.16,61.84,0.25197,-0.92447,0.59922
15600,-496.602,-83.33,963.649,7.73,-43.95,24.54,-0.07203,-0.77302,-0.1711725
15800,-554.042,-226.064,754.9375,-7.25,-21.64,-33.77,-0.2872,-0.71367,-1.0435575
16000,-552.35,-238.548,672.3835,-4.76,-6.77,-34.37,0.00846,-0.06242,-0.41277
16200,-547.288,-236.392,642.0895,0.67,-2.02,-22.29,0.02531,0.01078,-0.15147
16400,-522.656,-259.97,623.4955,2.73,-1.39,-8.92,0.12316,-0.11789,-0.09297
16600,-524.618,-247.01,640.9195,4.16,-3.15,-2.59,-0.00981,0.0648,0.08712
16800,-553.674,-194.532,702.718,-2.52,6.2,10.24,-0.14528,0.26239,0.3089925
17000,-569.106,-133.994,769.447,-6.24,13.72,21.09,-0.07716,0.30269,0.333645
17200,-560.17,-16.806,866.653,0.74,14.97,17.39,0.04468,0.58594,0.48603
17400,-521.488,24.338,929.5135,4.33,12.77,15.53,0.19341,0.20572,0.3143025
17600,-502.172,132.93,953.4235,8.21,15.34,17.05,0.09658,0.54296,0.11955
17800,-486.652,244.422,941.569,4.54,27.36,4.39,0.0776,0.55746,-0.0592725
18000,-443.406,366.64,906.4315,5.95,28.67,-6.27,0.21623,0.61109,-0.1756875
18200,-433.798,431.584,821.068,8.28,26.25,-16.73,0.04804,0.32472,-0.4268175
18400,-479.986,404.724,753.2275,-1.78,9.35,-26.7,-0.23094,-0.1343,-0.3392025
18600,-510.586,371.478,689.29,-10.37,-7.19,-22.22,-0.153,-0.16623,-0.3196875
18800,-516.264,353.278,635.7715,-5.78,-7.18,-20.27,-0.02839,-0.091,-0.2675925
19000,-514.416,350.07,616.7425,-0.85,-3.42,-14.39,0.00924,-0.01604,-0.095145
19200,-508.158,361.82,623.092,0.79,0.32,-3.8,0.03129,0.05875,0.0317475
19400,-501.728,364.108,605.2735,1.57,2.22,-0.3,0.03215,0.01144,-0.0890925
19600,-480.556,393.312,609.406,2.65,3.66,0.57,0.10586,0.14602,0.0206625
19800,-473.35,403.55,613.039,2.37,3.3,1.04,0.03603,0.05119,0.018165
20000,-370.544,511.094,733.0825,10.98,10.69,15.29,0.51403,0.53772,0.6002175
20200,-355.492,516.4,764.3005,6.71,4.39,12.83,0.07526,0.02653,0.15609
